slug,title,category,protocol_type,last_updated,author,synonyms,clinical_indications,position,npo,premedication,contrast_agent,contrast_volume,contrast_flow_rate,contrast_duration,contrast_timing,contrast_roi,contrast_trigger,kv,mas,rotation_time,pitch,tech_notes,nursing_notes,rad_notes,tips,additional_recons,safety_renal,safety_allergy
ct-foot,CT Foot,msk,musculoskeletal,2024-01-15,Dr. Davis,,Foot fracture | Lisfranc injury | Tarsal fractures | Foreign body | Pre-operative planning,Supine feet first,N/A,,None typically. Contrast if infection,If contrast: 75 mL,2-3 mL/s,,,,,120,Auto (reference 200),0.5s,Helical,Calcaneus through toes. Submillimeter. Weight-bearing position if able. Bilateral for comparison,No IV unless infection suspected,Calcaneus. Talus. Navicular. Cuneiforms. Metatarsals. Phalanges. Lisfranc ligament. Plantar fascia,Weight-bearing if possible. Bilateral comparison helpful,Document Lisfranc alignment. Calcaneal angles. 3D if complex,N/A or eGFR > 30,N/A or check allergy
ct-gout-protocol,CT Gout Protocol,msk,non-contrast,2024-01-15,Dr. Johnson,,Gout | Tophi | Urate deposition | CPPD | Crystal arthropathy,Variable - affected joint,N/A,,N/A,,,,,,,Dual energy 80/140Sn or equivalent,Auto,0.5s,Helical,Dual energy CT if available for urate detection. Single energy if not. Cover affected joint(s). Extended FOV if polyarticular,No IV. Document affected joints,Urate crystals color-coded on DECT. Tophi. Joint erosions. Soft tissue deposits. Quantify urate burden,Dual energy preferred for urate detection,Urate volume quantification. Color overlay. Document tophi locations,N/A,N/A
ct-hand,CT Hand,msk,musculoskeletal,2024-01-15,Dr. Chen,,Hand fracture | Scaphoid fracture | Metacarpal fracture | Foreign body | Pre-operative planning,Prone with hand extended (superman position) or supine with arm at side,N/A,,None typically. Contrast if infection,If contrast: 50 mL,2 mL/s,,,,,120,Auto (reference 150-200),0.5s,Helical,Distal radius/ulna through fingertips. Submillimeter. Position hand flat. Bilateral scout for comparison,No IV unless infection suspected,Carpal fractures (scaphoid navicular lunate). Metacarpals. Phalanges. CMC joints. Foreign bodies,Superman position preferred. Submillimeter for scaphoid,Scaphoid-specific views. 3D if complex. Document foreign body location,N/A or eGFR > 30,N/A or check allergy
ct-hip,CT Hip,msk,musculoskeletal,2024-01-15,Dr. Anderson,,Hip fracture | Acetabular fracture | Femoral neck | Pre-operative planning | FAI assessment,Supine,N/A,,None typically. Contrast if infection/mass,If contrast: 100 mL,2-3 mL/s,,,,,120,Auto (reference 250),0.5s,Helical,Iliac crests through proximal femurs. Bilateral for comparison. Submillimeter for 3D acetabular reconstructions,No IV unless contrast indicated,Femoral neck fractures. Acetabular fractures (Judet/Letournel). Hip dislocation. FAI morphology. AVN,Bilateral coverage. Submillimeter for acetabular 3D,3D pelvis. Judet oblique views. Letournel classification. FAI measurements (alpha angle),N/A or eGFR > 30,N/A or check allergy
ct-knee,CT Knee,msk,musculoskeletal,2024-01-15,Dr. Thompson,,Knee fracture | Tibial plateau | Patellar fracture | Pre-operative planning | Hardware evaluation,Supine feet first,N/A,,None typically. Contrast if infection/mass,If contrast: 75 mL,2-3 mL/s,,,,,120,Auto (reference 200),0.5s,Helical,Distal femur through proximal tibia/fibula. Submillimeter. Extended FOV for alignment. Bilateral scout,No IV unless contrast indicated,Tibial plateau fractures (Schatzker). Femoral condyles. Patella. Fibula. Cruciate ligaments on contrast. Menisci,Bilateral scout for alignment assessment,Schatzker classification if tibial plateau. Measure alignment. 3D reconstruction,N/A or eGFR > 30,N/A or check allergy
ct-lower-extremity,CT Lower Extremity,msk,contrast-enhanced,2024-01-15,Dr. Rodriguez,,Lower extremity fracture | Tibia/fibula | Femur | Post-operative hardware assessment,Supine,N/A,,None typically. Contrast if infection,If contrast: 100 mL,2-3 mL/s,,,,,120,Auto (reference 200-250),0.5s,Helical,FOV based on region: hip to ankle. Submillimeter for fracture. Extended coverage for alignment,No IV unless contrast needed,Fractures. Alignment. Comminution. Intra-articular extension. Hardware position. Infection on contrast,Extended coverage for alignment measurements,Alignment measurements. Hardware position. 3D for surgical planning,N/A or eGFR > 30,N/A or check allergy
ct-pelvis-msk,CT Pelvis MSK,msk,contrast-enhanced,2024-01-15,Dr. Kim,,Pelvic fracture | Sacral fracture | SI joint | Pelvic ring injury | Pre-operative planning,Supine,N/A,,None typically. Contrast if infection,If contrast: 100 mL,2-3 mL/s,,,,,120,Auto (reference 250),0.5s,Helical,Iliac crests to proximal femurs. Submillimeter for 3D. Assess pelvic ring integrity. Inlet and outlet views,No IV unless contrast indicated,Pelvic ring fractures (Young-Burgess). Sacral fractures (Denis). Acetabulum. SI joints. Symphysis pubis,Submillimeter for 3D pelvic reconstruction,3D pelvis. Inlet and outlet views. Young-Burgess classification. Measure displacement,N/A or eGFR > 30,N/A or check allergy
ct-shoulder,CT Shoulder,msk,musculoskeletal,2024-01-15,Dr. Lee,,Shoulder fracture | Proximal humerus | Glenoid | Scapula | Rotator cuff calcification,Supine with arm at side,N/A,,None typically. Contrast if infection/mass,If contrast: 75 mL,2-3 mL/s,,,,,120,Auto (reference 200),0.5s,Helical,Include entire scapula and proximal humerus. Submillimeter for glenoid detail. Y-views for scapula,No IV unless contrast indicated,Proximal humerus fractures (Neer). Glenoid fractures. Scapular fractures. AC joint. Rotator cuff calcifications,Include entire scapula. Submillimeter for glenoid,3D reconstruction. Neer classification if proximal humerus. Glenoid version measurements,N/A or eGFR > 30,N/A or check allergy
ct-upper-extremity,CT Upper Extremity,msk,contrast-enhanced,2024-01-15,Dr. White,,Upper extremity fracture | Humerus | Radius/ulna | Forearm | Elbow injury,Supine with arm positioned,N/A,,None typically. Contrast if infection,If contrast: 75 mL,2-3 mL/s,,,,,120,Auto (reference 200),0.5s,Helical,FOV based on region: shoulder to hand. Submillimeter for fracture detail. Position for comfort and coverage,No IV unless contrast needed,Fractures. Alignment. Intra-articular extension. Comminution. Soft tissue injury on contrast,Position for patient comfort and diagnostic quality,Document fracture location alignment. Soft tissue windows if contrast,N/A or eGFR > 30,N/A or check allergy
ct-wrist,CT Wrist,msk,musculoskeletal,2024-01-15,Dr. Hayes,,Wrist fracture | Distal radius fracture | Carpal fracture | DRUJ | Scapholunate ligament,Prone with wrist extended (superman) or positioned for comfort,N/A,,None typically. Contrast if infection,If contrast: 50 mL,2 mL/s,,,,,120,Auto (reference 150-200),0.5s,Helical,Distal radius/ulna through carpus. Submillimeter for carpal detail. Extended for forearm if needed,No IV unless contrast or arthrogram needed,Distal radius fractures. Carpal fractures (scaphoid). DRUJ. Carpal alignment. Ligaments on arthrogram,Position for comfort. Submillimeter for carpal bones,Scaphoid views. Carpal alignment. 3D if complex fracture,N/A or eGFR > 30,N/A or check allergy
msk-protocol-general,MSK Protocol General,msk,contrast-enhanced,2024-01-15,Dr. Lee,,Pre-operative planning | Post-operative assessment | Infection | Mass | Soft tissue tumor | Abscess,Depends on body part,NPO 2-4 hours if contrast,,Omnipaque 350 if contrast,100 mL if contrast,2-3 mL/s,,,,,120,Auto (reference 200-250),0.5s,Helical,Field of view specific to region. Submillimeter if 3D needed. NC and/or contrast based on indication. Delayed phase (5-10 min) for infection/tumor,IV for contrast studies. Document indication,NC: baseline bone soft tissue. Contrast: enhancement pattern. Delayed: washout or persistent enhancement. 3D for surgical planning,Tailor protocol to clinical question. Bilateral for comparison,Compare to contralateral side. Measure lesions. Bone and soft tissue windows,N/A or eGFR > 30,N/A or check allergy
brain-stroke-protocol,Brain Stroke Protocol,neuro,neuroradiology,2024-01-15,Dr. Williams,,Acute stroke | CVA | Neurological deficit < 24 hours | Stroke code,Supine head-first,None - emergency,,IsoVue 370 for CTA/CTP,100 mL,4-5 mL/s,,Multi-phase stroke protocol,Multiple ROIs,Varies,120,Auto (300 head),1.0 / 0.5s,0.5,STAT protocol: 1) NC Head 2) CTA Head/Neck (aortic arch to vertex) 3) CTP (optional). Minimize door-to-scan time,No IV for NC. Large bore for CTA/CTP. STAT coordination,NC: hemorrhage early ischemia hyperdense vessel. CTA: LVO large vessel occlusion. CTP: penumbra core mismatch,STAT protocol. Minimize delays. LVO detection critical,CTA MIP and 3D. CTP perfusion maps if done. ASPECTS score. LVO documentation,Emergency proceed,STAT protocol
ct-cervical-spine,CT Cervical Spine,neuro,spine,2024-01-15,Dr. Rodriguez,,Cervical spine trauma | Degenerative disease | Neck pain | Radiculopathy | Myelopathy,Supine head-first,N/A,,None typically. Contrast if infection/tumor,If contrast: 100 mL,3 mL/s,,,,,120,Auto (reference 250),0.5s,Helical,Skull base to T1. Submillimeter helical. Sagittal and coronal reformats required. Bone algorithm,No IV unless contrast needed. Cervical precautions if trauma,Alignment. Fractures. Disc spaces. Neural foramina. Spinal canal. Facet joints. Degenerative changes,Minimize motion. C-collar if trauma,Sagittal and coronal bone reconstructions. Oblique for foramina,N/A or verify eGFR,N/A or check allergy
ct-complete-spine,CT Complete Spine,neuro,spine,2024-01-15,Dr. Chen,,Spine trauma pan-scan | Multi-level disease | Metastatic survey | Infection,Supine,None - usually trauma,,None typically. Contrast if infection/mets,If contrast: 125 mL,3 mL/s,,,,,120,Auto (reference 250),0.5s,Helical,Skull base to sacrum. LONG COVERAGE. Submillimeter. Sagittal and coronal entire spine. May do in segments,No IV unless contrast needed. Complete spine coverage,Entire spine alignment. Fractures all levels. Spinal canal. Paraspinal masses. Metastatic disease,Long coverage. May need multiple acquisitions,Sagittal and coronal bone reconstructions. Oblique for foramina,N/A or verify eGFR,N/A or check allergy
ct-facial-bones,CT Facial Bones,neuro,non-contrast,2024-01-15,Dr. Martinez,,Facial trauma | Orbital fractures | Zygoma fractures | Nasal fractures | Mandible fractures,Supine head-first,N/A,,N/A,,,,,,,120,Auto (reference 250),0.5s,Helical,Frontal sinus to mandible. Submillimeter for 3D. Axial acquisition with multiplanar reformats. Remove dentures,Remove all facial metal. Dentures out,Le Fort classification. Orbital floor. Zygoma. Nasal bones. Mandible. NOE complex. 3D for surgical planning,Remove dentures and facial metal,3D surface rendering. Document Le Fort if present. Orbital floor assessment,N/A,N/A
ct-head-3d-stereotactic,CT Head 3D Stereotactic,neuro,neuroradiology,2024-01-15,Dr. Lee,,Stereotactic surgery planning | DBS planning | Biopsy planning | Surgical navigation | Gamma knife,Supine in surgical position. Head in frame if required,N/A,,None typically. Contrast optional,If contrast: 100 mL,3 mL/s,,,,,120,Auto (reference 300),Helicals,Pitch for isotropic,Submillimeter ISOTROPIC acquisition. Vertex to skull base. DICOM for surgical planning. Frame or fiducials if required,Position exactly as for surgery. Frame placement if required,Isotropic high-resolution for surgical targeting. Anatomic landmarks. Tumor if contrast,Isotropic voxels critical. Export DICOM to surgical planning,Export to surgical navigation. Isotropic 0.5mm. Coordinates for targeting,N/A or verify eGFR,N/A or check allergy
ct-lumbar-spine,CT Lumbar Spine,neuro,spine,2024-01-15,Dr. Hayes,,Lumbar spine trauma | Degenerative disease | Back pain | Radiculopathy | Sciatica,Supine,N/A,,None typically. Contrast if infection/tumor/post-op,If contrast: 100 mL,3 mL/s,,,,,120,Auto (reference 250),0.5s,Helical,T12 to sacrum. Submillimeter helical. Sagittal and coronal reformats. Oblique for foramina,No IV unless contrast needed,Alignment. Fractures. Disc spaces. Spinal canal stenosis. Neural foramina. Facet joints. Spondylolisthesis,Bone algorithm. Sagittal and coronal reconstructions,Oblique sagittal for foramina. Measure spinal canal. Grade stenosis,N/A or verify eGFR,N/A or check allergy
ct-myelogram,CT Myelogram,neuro,spine,2024-01-15,Dr. Martinez,,Post-myelogram CT | Intrathecal contrast follow-up | Spinal stenosis | Nerve root compression,Supine. Post-lumbar puncture,N/A,Intrathecal contrast already given,Omnipaque 240 intrathecal,10-15 mL IT,N/A,,,,,120,Auto (reference 250),0.5s,Helical,Post-LP CT. Usually lumbar region. Thin slices. Axial and sagittal reformats. Assess nerve root sleeves and thecal sac,Patient already had LP with IT contrast. Position comfortably,Nerve root sleeves. Thecal sac compression. Spinal stenosis. Disc herniations. Surgical planning detail,Post-LP headache precautions. Thin slices for nerve detail,Oblique reformats for nerve roots. Document stenosis level and severity,N/A,N/A
ct-orbits,CT Orbits,neuro,contrast-enhanced,2024-01-15,Dr. Davis,,Orbital mass | Thyroid eye disease | Orbital cellulitis | Optic nerve assessment | Trauma,Supine head-first,NPO 2 hours if contrast,,Omnipaque 350 if contrast,75-100 mL if contrast,3 mL/s,,,,,120,Auto (reference 200-250),0.5s,Helical,Orbits: superior orbital rim to maxillary sinus. Axial 1-2mm. Coronal reformats. NC for trauma. Contrast for masses/inflammation,Contrast for mass or inflammation. NC for trauma and metallic foreign body,Extraocular muscles. Optic nerve. Globe integrity. Orbital fat. Preseptal vs postseptal. Masses. Foreign body,Angle axial parallel to optic nerves. Thin slices,Assess optic nerve canal. Measure EOMs if thyroid eye disease. Document foreign body,N/A or verify eGFR > 30,N/A or check allergy
ct-parathyroid-4d,CT Parathyroid 4D,neuro,contrast-enhanced,2024-01-15,Dr. Kim,,Hyperparathyroidism | Parathyroid adenoma localization | Pre-operative parathyroid planning,Supine head-first with arms down,NPO 4 hours,,Omnipaque 350,75-100 mL,4 mL/s,,4D multi-phase,Carotid artery,150 HU,120,Auto (reference 200),0.5s,1,FOUR phases: 1) NC 2) Arterial 25s 3) Venous 55s 4) Delayed/washout 90s. Skull base to mediastinum. Parathyroid enhances early washes out,18-20G IV. High flow rate for arterial,NC: baseline. Arterial: parathyroid lights up. Venous: thyroid enhances. Delayed: parathyroid washes out faster than thyroid,Four phase critical. Look for early enhancement and washout,Subtraction images. Compare all phases. Document location for surgeon. Measure size,Verify eGFR > 30,Check allergy history
ct-sinus-stereotactic,CT Sinus Stereotactic,neuro,neuroradiology,2024-01-15,Dr. Chen,,Pre-operative sinus surgery planning | Image-guided surgery | ENT surgical navigation,Supine head-first. Surgical planning position,N/A,,N/A,,,,,,,120,Auto (reference 200),Helicals,Pitch for isotropic,Submillimeter isotropic acquisition. DICOM for surgical navigation system. May need fiducial markers. Entire sinus anatomy,Position as for surgery. Fiducials if required,Complete sinus anatomy for surgical navigation. Ostiomeatal complex. Skull base. Lamina papyracea,Isotropic voxels essential. DICOM for navigation,Export DICOM to surgical navigation system. Isotropic 0.625mm,N/A,N/A
ct-sinus,CT Sinus,neuro,neuroradiology,2024-01-15,Dr. Hayes,,Sinusitis | Sinus disease | Pre-operative sinus surgery | Nasal obstruction,Supine head-first,N/A,,N/A,,,,,,,120,Auto (reference 200),Axial or coronals,N/A,Coronal acquisition skull base through maxillary sinuses. Submillimeter for anatomy. Bone and soft tissue windows,No IV. Remove dentures and metal,Assess all sinuses. Ostiomeatal complex. Anatomic variants. Mucosal thickening. Polyps. Bony anatomy,Direct coronal preferred. Submillimeter for anatomy,Document anatomic variants (Haller cells concha bullosa). OMC assessment,N/A,N/A
ct-soft-tissue-neck,CT Soft Tissue Neck,neuro,contrast-enhanced,2024-01-15,Dr. Thompson,,Neck mass | Deep neck infection | Abscess | Airway assessment | Lymphadenopathy,Supine head-first,NPO 2 hours,,Omnipaque 350,100 mL,3 mL/s,,,,,120,Auto (reference 200-250),0.5s,1,Skull base to thoracic inlet. 60-70 sec delay for venous phase. Arms down. Minimize swallowing. May need NC if calcium assessment,18-20G IV. Coach no swallowing during scan,Assess neck spaces. Retropharyngeal. Parapharyngeal. Masticator. Parotid. Submandibular. Thyroid. Lymph nodes. Abscess vs phlegmon,Arms down. Minimize swallowing. Quiet breathing,Assess all neck spaces. Measure lymph nodes. Airway diameter if concern,Verify eGFR > 30,Check allergy history
ct-temporal-bones,CT Temporal Bones,neuro,neuroradiology,2024-01-15,Dr. Anderson,,Hearing loss | Chronic otitis | Cholesteatoma | Temporal bone fracture | Pre-operative cochlear implant,Supine head-first,N/A,,N/A,,,,,,,120,High mAs (300-400),Axial/Coronals,Sequential or helical,Temporal bones: external auditory canal to petrous apex. SUBMILLIMETER <0.625mm. Direct axial and direct coronal if possible. Ultra high resolution,No IV. Remove hearing aids and earrings,Ossicles. Cochlea. Semicircular canals. Internal auditory canal. Mastoid air cells. Cholesteatoma. Fracture. Tegmen,Submillimeter critical. Sharp bone kernel. Remove all metal,Pöschl and Stenvers oblique reformats for IAC. Measure vestibular aqueduct,N/A,N/A
ct-thoracic-spine,CT Thoracic Spine,neuro,spine,2024-01-15,Dr. White,,Thoracic spine trauma | Compression fracture | Back pain | Tumor | Infection,Supine,N/A,,None typically. Contrast if infection/tumor,If contrast: 100 mL,3 mL/s,,,,,120,Auto (reference 250),0.5s,Helical,C7 to L1. Submillimeter helical. Sagittal and coronal reformats. Arms up if possible,No IV unless contrast indicated. Arms up to reduce artifact,Alignment. Compression fractures. Pedicles. Spinal canal. Disc spaces. Paraspinal soft tissues,Arms up reduces artifact. Bone algorithm,,N/A or verify eGFR,N/A or check allergy
cta-head-and-neck-arch-to-vertex,CTA Head and Neck (Arch to Vertex),neuro,vascular,2026-01-04,,,Stroke workup | Carotid stenosis | Vertebral artery dissection | Aneurysm screening,Supine head-first with arms at sides,NPO 2 hours,None typically. Consider anxiolytic if severe claustrophobia,Isovue 370,80-100 mL,4-5 mL/s,,Bolus Tracking,Aortic arch,150 HU,100-120,Auto (reference 250),0.5s,0.9,Scan from aortic arch through vertex. Use bolus tracking in arch. Minimize dental artifact with gantry angulation,Good antecubital IV access required - 20G minimum. Verify injection site for extravasation risk,Evaluate complete circle of Willis. Assess carotid bifurcations. Look for dissection. Check aneurysms,Remove dentures. Minimize swallowing during neck acquisition,MIP and 3D VR reconstructions of vessels. Curved MPR of carotids,Verify eGFR > 30,Check allergy history and renal function
cta-head,CTA Head,neuro,vascular,2024-01-15,Dr. Thompson,,Aneurysm screening | Subarachnoid hemorrhage | Vascular malformation | Intracranial stenosis,Supine head-first,NPO 2 hours,,Omnipaque 350,75-100 mL,4-5 mL/s,,Bolus Tracking,Aortic arch or carotid,150 HU,100-120,Auto (reference 250),0.5-0.6s,Helical,NC Head optional then CTA skull base to vertex. Bolus tracking. Submillimeter for 3D reconstruction,20G IV minimum. Good bolus essential,Assess circle of Willis. Aneurysms. Stenosis. Vascular malformations. Anatomic variants,Minimize motion. Thin slices for small aneurysms,3D VR and MIP. Measure aneurysm if present. Assess A1 A2 dominance,Verify eGFR > 30,Check allergy history
cta-neck,CTA Neck,neuro,vascular,2024-01-15,Dr. Kim,,Carotid stenosis | Vertebral artery dissection | Neck vessel assessment | Pre-CEA planning,Supine head-first,NPO 2 hours,,Omnipaque 350,90-100 mL,4-5 mL/s,,Bolus Tracking,Aortic arch,150 HU,100-120,Auto (reference 200),0.5s,0.9,Aortic arch to skull base. Bolus tracking in arch. Submillimeter. Minimize swallowing during scan,20G IV antecubital preferred,Assess carotid bifurcations. Stenosis grading. Vertebral arteries. Dissection. Plaque morphology,Minimize swallowing. Submillimeter acquisition,Curved MPR both carotid bifurcations. Measure stenosis (NASCET). 3D VR. MIP,Verify eGFR > 30,Check allergy history
ctv-head,CTV Head,neuro,vascular,2024-01-15,Dr. Rodriguez,,Venous sinus thrombosis | Dural sinus thrombosis | Intracranial hypertension | Venous malformation,Supine head-first,NPO 2 hours,,Omnipaque 350,75-100 mL,3-4 mL/s,,,,,120,Auto (reference 250),0.5-0.6s,Helical,NC Head then delayed venous CTV (60-90 sec). Skull base to vertex. Assess venous sinuses,18-20G IV,NC: hemorrhage. CTV: filling defects in sinuses. Venous thrombosis. Cortical vein thrombosis,Delayed timing 60-90 sec. Look for filling defects,3D VR venogram. MIP maximum intensity projection. Document filling defects,Verify eGFR > 30,Check allergy history
non-contrast-ct-head,Non-Contrast CT Head,neuro,neuroradiology,2026-01-03,,,Acute stroke protocol | Head trauma | Headache - worst of life | Altered mental status,Supine head-first,N/A,,N/A,,,,,,,120,Auto (reference 300),1s,0.5,Minimize patient motion. Gantry angle parallel to skull base to reduce orbital dose. Ensure head straight,No IV required. Explain importance of staying still,Look for hyperdense MCA sign. Assess grey-white differentiation. Check for hemorrhage and mass effect,Remove dentures and hearing aids. Secure head in holder,Thin slice 1.25mm if subtle fracture suspected,N/A,N/A
pregnant-trauma-ct-ap,Pregnant Trauma CT AP,trauma,trauma,2024-01-15,Dr. Anderson,,Pregnant trauma patient | Multi-trauma pregnancy | Maternal injury assessment,Supine with left lateral tilt if possible,None - trauma,,Omnipaque 350,125 mL,3 mL/s,,,,,100,Reduced mAs if possible,0.5s,1.375,Portal venous phase 70s. SINGLE PHASE to minimize fetal radiation. Shield uterus if injury distant. Document weeks gestation,Pregnancy documented. Fetal heart tones if equipment available. Shield if possible,Assess maternal injuries. Minimize fetal radiation exposure. Document placental injury if visible,Document gestational age. Shield fetus if possible. Minimize radiation,,Check if known,Trauma indication documented
trauma-chest-ct,Trauma Chest CT,trauma,trauma,2024-01-15,Dr. Martinez,,Blunt chest trauma | Rib fractures | Pneumothorax | Hemothorax,Supine with arms raised if possible,None - trauma,,N/A,,,,,,,120,Auto (reference 200),0.5s,1.0-1.2,Single acquisition lung apices to costophrenic angles. RIB REFORMATS required. Submillimeter acquisition,Trauma precautions. Arms up if able,Pneumothorax hemothorax. Rib fractures (count and location). Pulmonary contusion. Aortic injury. Sternal/scapular fractures,Submillimeter acquisition critical for rib detail,Dedicated rib reformats (oblique sagittal each rib). Count fractures. 3D chest wall,N/A,N/A
trauma-code-aaa,Trauma Code AAA,trauma,trauma,2024-01-15,Dr. Davis,,Ruptured AAA | Aortic emergency | Hemodynamic instability with abdominal pain,Supine with arms raised,None - emergency,,Omnipaque 350,125 mL,4-5 mL/s,,Triple phase: NC + Arterial + Portal venous,Abdominal aorta,150 HU,100-120,High mAs (300 reference),0.5s,1.0-1.375,RAPID triple phase: 1) NC CAP (hematoma) 2) Arterial CAP (active bleed bolus track 25-30s) 3) Portal venous CAP (70s). STAT protocol,Large bore IV 18G minimum. Blood products ready,NC: retroperitoneal hematoma. Arterial: active extravasation aneurysm morphology. Portal: solid organs,STAT protocol. Minimize delays. Notify vascular surgery,Measure aneurysm. Identify bleeding site. EVAR measurements if stable,Emergent - proceed,Document emergency
trauma-cta-chest-with-pv-ct-ap,Trauma CTA Chest with PV CT AP,trauma,vascular,2024-01-15,Dr. Lee,,Blunt thoracic trauma | Aortic injury | Great vessel injury | Multi-trauma,Supine with arms raised,None - trauma,,Omnipaque 350,125 mL,4 mL/s,,Dual phase: CTA Chest arterial + Portal venous AP,Descending aorta,150 HU,100-120,Auto (reference 250),0.5s,1.0-1.2,TWO acquisitions: 1) CTA CHEST arterial (bolus track) 2) Portal venous ABDOMEN/PELVIS 70s. Chest arterial for aorta/vessels,Large bore IV 18-20G. Verify flow,Chest arterial: aortic injury (intimal flap pseudoaneurysm). AP portal venous: solid organ injury,Trauma indication. Fast scan. Good IV essential,3D aorta and great vessels. Curved MPR aorta. Grade aortic injury,eGFR > 30 if known,Trauma indication
trauma-head-and-c-spine,Trauma Head and C-Spine,trauma,trauma,2024-01-15,Dr. Smith,,Trauma head injury | C-spine clearance | Multi-trauma assessment,Supine head-first. Cervical collar in place,None - trauma,,N/A,,,,,,,120,Auto (300 head / 250 spine),1.0 head / 0.5 spines,0.5,TWO acquisitions: 1) Head vertex to C1 2) C-spine skull base to T1. Head: 5mm axial. C-spine: 0.625mm with reformats. Minimize movement,Maintain cervical precautions. C-collar remains on. Document GCS,Head: acute hemorrhage skull fractures. C-spine: fractures alignment ligamentous injury,Keep C-collar on. Minimize patient movement,C-spine: Sagittal and coronal bone reformats. 3D if complex fracture,N/A,N/A
trauma-head-c-spine-and-facial-bones,Trauma Head C-Spine and Facial Bones,trauma,trauma,2024-01-15,Dr. Johnson,,Facial trauma | Maxillofacial fractures | Orbital fractures with head/spine injury,Supine head-first. C-collar on,None - trauma,,N/A,,,,,,,120,Auto (300 head / 250 other),1.0 / 0.5s,0.5,THREE acquisitions: 1) Head 2) C-spine 3) Facial bones. Face: submillimeter helical for 3D. C-collar remains,C-collar precautions. Document mechanism of injury,Head: intracranial injury. C-spine: fractures. Face: Le Fort midface orbital mandible fractures,C-collar on. Remove dentures if safe,3D face reconstruction. Le Fort classification. Orbital floor assessment,N/A,N/A
trauma-lower-extremity-runoff-cta,Trauma Lower Extremity Runoff CTA,trauma,vascular,2024-01-15,Dr. Williams,,Extremity vascular injury | Penetrating trauma | Fracture with vascular concern | Pulseless extremity,Supine legs extended,None - trauma,,Omnipaque 350,125 mL,4-5 mL/s,,Bolus Tracking,Abdominal aorta or proximal to injury,150 HU,100-120,Auto (reference 250),0.5s,1.2-1.5,Extend coverage based on injury. Aorta to ankles if bilateral. May do unilateral focused study. Arterial phase,18-20G IV. May need proximal IV if arm injury,Assess arterial injury: transection pseudoaneurysm occlusion extravasation. Evaluate fracture relationship to vessels,Tailor coverage to injury. Fast acquisition,MIP and 3D VR. Document vascular injury. Measure vessel caliber,Check if available,Trauma indication
cta-abdomen-pelvis,CTA Abdomen Pelvis,vascular,vascular,2024-01-15,Dr. Martinez,,Abdominal aortic aneurysm | Mesenteric ischemia | Renal artery stenosis | Pre-EVAR planning,Supine with arms raised,NPO 4 hours,Oral contrast optional - omit for vascular indication,Isovue 370,1.1 mL/kg,4 mL/s,20s,Bolus Tracking,Abdominal aorta at celiac,150 HU,100,Auto (reference 250),0.5s,1.0-1.375,Caudocranial scan direction. Include renal arteries to femoral bifurcation minimum,18-20G IV antecubital,Measure AAA if present. Assess renal and mesenteric arteries. Evaluate iliac vessels,Arms raised. No oral contrast for pure vascular study,3D VR and curved MPR. Measure AAA in 3 planes,Verify eGFR > 30,Check allergy history
cta-chest-abdomen-pelvis,CTA Chest Abdomen Pelvis,vascular,vascular,2024-01-15,Dr. Smith,,Aortic aneurysm | Vasculitis | Trauma pan-scan,Supine with arms raised above head,NPO 2-4 hours,,Isovue 370,1.1 mL/kg,4 mL/s,20s,Bolus Tracking,Descending thoracic aorta,150 HU,100,Auto (reference 250),0.5s,1.0-1.2,Single acquisition from thoracic inlet to pubic symphysis. Caudocranial direction. Bolus track in descending aorta,20G IV minimum. Antecubital or proximal forearm preferred,Assess entire aorta for dissection/aneurysm. Measure aortic dimensions. Check branch vessels,Arms completely raised. ECG monitoring if known dissection,3D VR and curved MPR of entire aorta,Verify eGFR > 30,Check allergy history
cta-chest,CTA Chest,vascular,vascular,2024-01-15,Dr. Johnson,,Thoracic aortic aneurysm (not involving the aortic root) | Great vessel evaluation,Supine with arms raised,NPO 2 hours,,Isovue 370,1.2 mL/kg,4 mL/s,15 - 20s,Bolus Tracking,Ascending aorta or main PA,150 HU,100,Auto (reference 200),0.5s,1.0-1.2,Choose ROI based on indication - ascending aorta for aortic pathology or main PA for PE,20G IV minimum,Assess aorta and great vessels. Measure aneurysm if present. Look for dissection flap,Arms fully raised,3D VR of thoracic vasculature,Verify eGFR > 30,Check allergy history
cta-diep-flap-pre-operative,CTA DIEP Flap Pre-operative,vascular,vascular,2024-01-15,Dr. Williams,,Pre-operative planning for DIEP flap breast reconstruction,Supine with arms at sides or on chest,NPO 2-4 hours,,Isovue 370,1.5 mL/kg,4-5 mL/s,20s,Bolus Tracking,Abdominal aorta,150 HU,100,Auto (reference 200),0.5s,0.9,"Scan from mid-liver to greater trochanters. Remove tight-fitting underwear. If patient can exercise, do leg lifts on table before injection.",18-20G IV,Map perforator locations. Measure vessel caliber. Identify dominant perforators. Note relationship to umbilicus. Prefer perforators below umbilicus.,Arms positioned to not obscure anterior abdominal wall,3D VR color-coded perforator map. Measure distances from umbilicus,Verify eGFR > 30,Check allergy history
